Row Number,Company,Position Name,Location,Status,Job Description,Application Link,Number of Applicants,Industry,Salary
10,TurtleTree,Data Science Intern Winter/Spring 2023 - 2024,"Woodland, CA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-intern-winter-spring-2023-2024-at-turtletree-3734618306?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=18t9fb9of30uaTskukweBQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,,,0
11,Genworth,Data Scientist Intern,"Raleigh, NC",1 week ago,"At Enact Mortgage Insurance (Nasdaq: ACT), we understand that there’s no place like home. That’s why we bring our deep expertise, insightful offerings, and extra mile service to work every day to help lenders put more people in homes and keep them there.

We’re looking for a in to join us in fulfilling our mission, while utilizing our values of excellence, improvement and connection. In addition to the multiple weekly events attended by all interns, you’ll work alongside industry experts for a 12-week internship beginning May 13, 2024. As part of the Data Science team, you will be developing comprehensive analytics for different functions that highly depend on data insights to create efficiencies. This is a dynamic and challenging opportunity to apply the latest machine learning models and methods in Data Science to solve a variety of business matters.


Enact’s Internship Program provides an excellent opportunity for students to gain hands-on experience in achieving business results while developing technical and professional skills. The internship program is a critical component of Enact’s talent pipeline as we look to interns to provide cutting edge ideas and skills that will drive business success.

Enact invests time, energy, and resources to create a worthwhile experience for interns. Interns work on meaningful business projects, but beyond that, they will network directly with leaders throughout the company (all the way up to the CEO), attend teambuilding events with their internship cohort, connect with the community through volunteer opportunities (both on-site and off-site), and attend professional development workshops. It’s a unique internship experience that helps interns develop a network of peers and mentors who act as a source of constant engagement and guidance during the internship.








Enact Headquarter Office, Raleigh, NC – hybrid schedule


Enact is a leading publicly traded U.S. private mortgage insurance provider, offering borrower-centric products that enable lenders and other partners across the U.S. to help people responsibly achieve and maintain the dream of homeownership.

By empowering customers and their borrowers, Enact seeks to positively impact the lives of those in the communities in which it serves in a sustainable way. Headquartered in Raleigh, North Carolina, we play an active role in supporting a healthier Triangle community. We also support our colleagues’ philanthropic efforts in their home communities across the U.S.

Enact values all perspectives, characteristics and experiences, and DEI remains at the forefront of what we do. We strive to create an environment where employees can bring their full, authentic selves to work to help each other and their customers.

We are proud to be an equal opportunity employer and all hiring decisions are based on merit, qualifications, and business need. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.
Show more",https://www.linkedin.com/jobs/view/data-scientist-intern-at-genworth-3728671691?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=jXdpoNA0NZIAOk899Egw%2FQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,200,"Industries
Insurance",0
12,Lockheed Martin,Data Scientist and Analytics - Intern,"Fort Worth, TX",Actively Hiring,"Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility. Your Mission is Ours.

Lockheed Martin Aeronautics is seeking a Summer 2024 Intern Data Scientist and Analytics - Intern. In this role, you will perform exploratory research and analysis to identify novel and meaningful patterns in data and use statistical methods to reject or accept proposed hypotheses about relationships or latent predictive factors discovered through your work to provide business value. Areas of emphasis should include several of the following: applied statistics, text mining, natural language processing, deep learning, optimization, and other similar fields.

Additionally, you will develop, inspect, mine, transform, and model data to raise productivity, improve decision making, and gain competitive advantage in an engineering setting. You will work with technical developers and data scientists to define business outcomes and govern capabilities.


Pursuing a Bachelor's degree in Computer Science, Computer Systems, Computer Engineering, or Data Science.


Technical abilities to:


None


By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.

Part-time Remote Telework: The employee selected for this position will work part of their work schedule remotely and part of their work schedule at a designated Lockheed Martin facility. The specific weekly schedule will be discussed during the hiring process.

Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.


At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.

With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.

If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.

Co-op/Summer Intern

AERONAUTICS COMPANY

Housing Stipend

QA/Test and Inspection

Part-Time

First
Show more",https://www.linkedin.com/jobs/view/data-scientist-and-analytics-intern-at-lockheed-martin-3701772318?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=2zEPLaxxnkYtwD1J83Gt3Q%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,200,"Industries
Defense and Space Manufacturing",0
13,The Home Depot,Data Science Graduate Internship (Remote - Summer 2024),"Atlanta, GA",Actively Hiring,"Internship Overview

The Home Depot's Summer Internship program offers college students an opportunity to develop leadership skills and gain hands on experience in a corporate environment. During an 11 - week period from May 13 - July 26, 2024, interns will be assigned to a functional team such as Supply Chain, Marketing, e-commerce, Technology, Finance, Operations, Merchandising, Outside Sales & Services, Human Resources, etc. Interns will learn more about our retail business and our corporate offices while having the opportunity to work on a pre-assigned project that impacts the function they are supporting. Additionally, interns participate in networking and development activities that set them up for success as they build their careers.


The Data Science Intern Program offers talented college students the opportunity to develop their advanced data science skills while supporting the Company's strategic objectives. Intern candidates are assigned to a project aligned to business areas such as e-Commerce, Merchandising, Operations or Finance.

The Home Depot's internship program was recently named in the top 50 in the US. Our program offers college students an opportunity to develop leadership skills and gain hands on experience working with a number of leaders on projects that directly impact the business for one of the world's leading retailers. During the 12-week period, interns will focus on working with a variety of data science roles and functions to translate business questions into actionable insights and deliver high quality analytical solutions.





After the Internship, here are some examples of early career roles for interns with a background in Data Science

At The Home Depot, our associates always have room to move up and explore new opportunities.



















Show more",https://www.linkedin.com/jobs/view/data-science-graduate-internship-remote-summer-2024-at-the-home-depot-3715394709?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=hEGAPyWt2Utq33bfIQdZtQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,200,"Industries
Retail",0
14,1870 Ventures,Research Analyst (Internship),"Columbus, OH",2 months ago,INVALID LINK,https://www.linkedin.com/jobs/view/research-analyst-internship-at-1870-ventures-3665893577?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=57Q%2FDE9I7dcOBCYO3umxeQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,,,0
15,Corning Incorporated,Data Science Intern,"Corning, NY",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-intern-at-corning-incorporated-3731255236?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=CfxilTNhZvgiX51MkMriaA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,,,0
16,Atlanta Braves,CRM & Data Analyst Trainee,"Atlanta, GA",4 days ago,"If you are driven to deliver exceptional fan experiences that are beyond anything possible elsewhere and interested in working alongside a team of innovators and enthusiastic over-achievers, you will enjoy working with us!

The Atlanta Braves Trainee Program is designed for applicants who are interested in beginning a career in professional sports. Each year, the program hires individuals from around the nation with diverse backgrounds who are ambitious, intelligent and creative candidates to work in a department from January to November. This opportunity provides valuable experience in the day-to-day operations of a professional sports franchise, and it not only gives the opportunity to work in a Front Office environment, but also to build a network with those in the sports industry who can provide guidance, advice, and possible connections for job opportunities upon completion of the program.

Trainees are expected to work 37.5 hours per week and may have additional game day responsibilities, depending on department and assignments. The individuals who participate in this program are non-exempt, paid hourly, eligible for overtime, and are benefit-eligible after 60 days (medical, dental, vision).



A CRM & Data Analyst Trainee in the Technology Services organization will be responsible for supporting our data warehouse processes and delivery of ad-hoc reports for the different business units. This analyst will assist in maintaining our data warehouse, working closely with team members while performing ad-hoc reporting via SQL and Tableau. They will assist with the configuration, implementation and delivery of CRM enhancements that enables the business to grow while improving operational efficiency.

Technology Services is a crucial enabler of The Atlanta Braves’ success by delivering reliable, high-performance Technology systems and infrastructure that is easy to use. Technology Services works closely with business partners to improve and transform technology-enabled capabilities and the value of the Technology investment portfolio through innovation, execution, and an outstanding user experience. Innovation, efficiency, and excellence are critical success factors.








The Atlanta National League Baseball Club, LLC is an equal opportunity employer. A diverse workforce representing varied backgrounds, perspectives, and experiences is key to delivering on our business promise to our fans and the communities we serve. All qualified candidates are welcome to apply.

If you are disabled as defined by the Americans With Disabilities Act and require a reasonable accommodation in order to complete your online application, including making a change to the application process, please contact our Human Resources team at PeopleCapital@braves.com

Effective January 10, 2022, the Atlanta Braves will require all US-based employees in the Scouting and Player Development departments to be fully vaccinated against COVID-19 as a condition of employment and provide proof of such vaccination prior to the commencement of employment. Employees in all other departments are not required but are strongly encouraged to be fully vaccinated, and we do require a vaccine to participate in certain activities and to obtain a premium reduction for our health benefit plans. Employees choosing not to obtain a vaccine will be notified of any limitations on their work activities if applicable. Requests for reasonable accommodations should be directed to Peoplecapital@braves.com.
Show more",https://www.linkedin.com/jobs/view/crm-data-analyst-trainee-at-atlanta-braves-3731442798?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=jsE58cLUL0XfkQdyRF3MwQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,166,"Industries
Spectator Sports",0
17,Tencent,Data Scientist Intern,"Palo Alto, CA",Actively Hiring,"Work Mode:

Onsite

Responsibilities:


Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good.

We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.


Interactive Entertainment Group (IEG) is responsible for the R&D, operation, and development of the company's interactive entertainment business including games and eSports. Through online gaming, live broadcasts, and offline eSports, IEG assists the company in leading the global interactive entertainment market to create better interactive entertainment content experiences for users.






The base pay range for this position in California is $ 24.80 to $ 57.69 per hour.

Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign-on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered



Diversity, equity and inclusion are important, interdependent components of our workplace. As an equal opportunity employer, we firmly believe that diverse voices fuel our innovation and allow us to better serve our users and the community. We foster an environment where every employee of Tencent feels supported and inspired to achieve individual and common goals.

Location State(s)

California

The base pay range for this position in the state(s) above is $ to $ per hour. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.
Show more",https://www.linkedin.com/jobs/view/data-scientist-intern-at-tencent-3658799978?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=ZP5Ln5ESduj5tb773IRWsw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,200,"Industries
Software Development",0
18,Baxter & Woodman,Artificial Intelligence Intern,"Chicago, IL",5 days ago,"B&W Innovation & Technology Team

Artificial Intelligence Intern

Position Location: Crystal Lake, IL, Chicago, IL, Mokena, IL, or Naperville, IL.

Part-time or Full-time applicants will be considered.



Experienced professionals and recent graduates alike encounter more than just a job at Baxter & Woodman – they discover a lasting, rewarding career with a recognized leader in technology and innovation in the civil engineering field. Baxter & Woodman offers an exceptional work environment. Named a 2023 means we appreciate and value our staff, providing them with a comprehensive benefits package that includes flexible work schedules, an outstanding 401K match, and more.

The Artificial Intelligence Intern will be integrated within the corporate Innovation and Technology Team. This position will explore and further develop AI based initiatives within our firm. These initiatives may range from computer vision to text understanding and language generation. The primary role for this position will utilize data and develop computer vision models, which can benefit our civil engineering teams complete their work in a more efficient way. This position is an excellent opportunity for a student or recent graduate to integrate within a solution-focused design team, improve exposure in the growing field of Artificial Intelligence/Machine Learning, and create impactful solutions.





Show more",https://www.linkedin.com/jobs/view/artificial-intelligence-intern-at-baxter-woodman-3731647521?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=k1pQGZJcFQDMzAgQbTFNkA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,39,"Industries
Civil Engineering",0
19,Ameritas,Data Science Intern,"Lincoln, NE",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-intern-at-ameritas-3720123669?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=QsNnH2%2BgfPTtwHDveP5Kog%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,,,0
